dec,bin,gray,contiguity,score
37682,1001001100110010,1101101010101011,False,1.0
37683,1001001100110011,1101101010101010,False,1.0
37684,1001001100110100,1101101010101110,False,1.0
37685,1001001100110101,1101101010101111,False,1.0
37686,1001001100110110,1101101010101101,False,1.0
37687,1001001100110111,1101101010101100,False,1.0
37688,1001001100111000,1101101010100100,False,1.0
37689,1001001100111001,1101101010100101,False,1.0
37690,1001001100111010,1101101010100111,False,1.0
37691,1001001100111011,1101101010100110,False,1.0
37692,1001001100111100,1101101010100010,False,1.0
37693,1001001100111101,1101101010100011,False,1.0
37694,1001001100111110,1101101010100001,False,1.0
37695,1001001100111111,1101101010100000,False,1.0
37696,1001001101000000,1101101011100000,False,1.0
37697,1001001101000001,1101101011100001,False,1.0
37698,1001001101000010,1101101011100011,False,1.0
37699,1001001101000011,1101101011100010,False,1.0
37700,1001001101000100,1101101011100110,False,1.0
37701,1001001101000101,1101101011100111,False,1.0
37702,1001001101000110,1101101011100101,False,1.0
37703,1001001101000111,1101101011100100,False,1.0
37704,1001001101001000,1101101011101100,False,1.0
37705,1001001101001001,1101101011101101,False,1.0
37706,1001001101001010,1101101011101111,False,1.0
37707,1001001101001011,1101101011101110,False,1.0
37708,1001001101001100,1101101011101010,False,1.0
37709,1001001101001101,1101101011101011,False,1.0
37710,1001001101001110,1101101011101001,False,1.0
37711,1001001101001111,1101101011101000,False,1.0
37712,1001001101010000,1101101011111000,False,1.0
37713,1001001101010001,1101101011111001,False,1.0
37714,1001001101010010,1101101011111011,False,1.0
37715,1001001101010011,1101101011111010,False,1.0
37716,1001001101010100,1101101011111110,False,1.0
37717,1001001101010101,1101101011111111,False,1.0
37718,1001001101010110,1101101011111101,False,1.0
37719,1001001101010111,1101101011111100,False,1.0
37720,1001001101011000,1101101011110100,False,1.0
37721,1001001101011001,1101101011110101,False,1.0
37722,1001001101011010,1101101011110111,False,1.0
37723,1001001101011011,1101101011110110,False,1.0
37724,1001001101011100,1101101011110010,False,1.0
37725,1001001101011101,1101101011110011,False,1.0
37726,1001001101011110,1101101011110001,False,1.0
37727,1001001101011111,1101101011110000,False,1.0
37728,1001001101100000,1101101011010000,False,1.0
37729,1001001101100001,1101101011010001,False,1.0
37730,1001001101100010,1101101011010011,False,1.0
37731,1001001101100011,1101101011010010,False,1.0
37732,1001001101100100,1101101011010110,False,1.0
